ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length
139,مدرسه غیر دولتی نیک دخت - مدرسه فردوسی,1,27,139,7952.133899046876600
140,مدرسه غیر دولتی نیک دخت - مدرسه مولوی,1,40,140,7952.133899046876600
141,مدرسه غیر دولتی نیک دخت - بوستان شهید شعبانلو,1,52,141,7955.045402759523300
142,مدرسه غیر دولتی نیک دخت - مدرسه عمار,1,54,142,7972.808242587492700
143,مدرسه غیر دولتی نیک دخت - بوستان صبا,1,25,143,7979.057819007417500
144,مدرسه غیر دولتی نیک دخت - بوستان نرگس,1,26,144,8013.489810603946400
145,مدرسه غیر دولتی نیک دخت - بوستان باغ رز,1,73,145,8083.276991382148500
146,مدرسه غیر دولتی نیک دخت - بوستان کودک و زمین چمن,1,33,146,8123.972798500244600
147,مدرسه غیر دولتی نیک دخت - مدرسه شهید وزان,1,41,147,8225.021980537880200
148,مدرسه غیر دولتی نیک دخت - مدرسه حضرت زهرا (س),1,16,148,8245.889651538718700
149,مدرسه غیر دولتی نیک دخت - مدرسه پویا,1,24,149,8329.780350704792000
150,مدرسه غیر دولتی نیک دخت - آموزشگاه سروش,1,36,150,8464.622367716172400
151,مدرسه غیر دولتی نیک دخت - بوستان گمنام,1,28,151,8478.966058635582200
152,مدرسه غیر دولتی نیک دخت - پارک جنگلی لویزان,1,158,152,8699.484124354692500
153,مدرسه غیر دولتی نیک دخت - بوستان صلح و دوستی,1,39,153,9063.622294871274800
154,مدرسه غیر دولتی نیک دخت - مدرسه ملاصدرا (امام جعفر صادق),1,22,154,9188.632909867339500
155,مدرسه غیر دولتی نیک دخت - مدرسه رضوان,1,29,155,9188.632909867339500
156,مدرسه غیر دولتی نیک دخت - فضای سبز,1,20,156,9675.299526470587800
157,پیش دبستان و دبستان نهال دانش - زمین ورزشی,2,5,1,157.061199185333630
158,پیش دبستان و دبستان نهال دانش - مدرسه تربیت,2,6,2,348.833922626185710
159,پیش دبستان و دبستان نهال دانش - بوستان گلبرک,2,152,3,916.834717665042150
160,پیش دبستان و دبستان نهال دانش - بوستان بهارک,2,12,4,935.241423020717210
